id,HUC2,NSE_regional,NSE_hybrid,KGE_regional,KGE_hybrid
camels_01022500,01,0.8415688275791637,0.8603005430429628,0.8662563127946574,0.8965678822379324
camels_01031500,01,0.9155946960603977,0.8880730730177743,0.8746402378340516,0.9009349471945844
camels_01047000,01,0.8862015205178109,0.8600784204360827,0.9288859947908527,0.9072799816916329
camels_01052500,01,0.7137182936870251,0.7838110706127808,0.8490699637280661,0.888744993661924
camels_01054200,01,0.5389580161259084,0.5293159817818158,0.703513581575664,0.7206680697280696
camels_01055000,01,0.7114459026790064,0.6268823059236277,0.8505314570678467,0.8178746404879915
camels_01057000,01,0.8706118834460863,0.8261611070207497,0.9178943225862404,0.9051002098267142
camels_01078000,01,0.7945168088567135,0.8312242109444539,0.8585686675847042,0.8653422315168751
camels_01134500,01,0.8362090385624212,0.8368456269155455,0.8015622723840424,0.8584053296083427
camels_01137500,01,0.7237826717881286,0.7421939045480861,0.7460873847821825,0.7640155278965227
camels_01139000,01,0.8864155559037501,0.8624219320766584,0.889943500077367,0.8454024699663252
camels_01144000,01,0.8294715143802663,0.7805089674383112,0.8968986442601243,0.8360689714447833
camels_01169000,01,0.5707813774252752,0.5235992204393536,0.6180863002550001,0.6169762257527027
camels_01170100,01,0.576314454064261,0.5192868752108978,0.699236110351048,0.6703217898936145
camels_01181000,01,0.5132433792659783,0.47152529799546417,0.4967752693046682,0.5226988287550065
camels_01333000,02,0.7066028360139216,0.6519436156144334,0.6980765460923355,0.711960892998377
camels_01350000,02,0.609948254440797,0.59052989154923,0.6455423902662353,0.6181992773979925
camels_01365000,02,0.7394173906460975,0.6944233979826998,0.816826364951808,0.7331041500189133
camels_01413500,02,0.5617039018201121,0.4898071806185965,0.6856993218713081,0.582654701655176
camels_01423000,02,0.8244749150556641,0.8215832339020966,0.8800105110364003,0.9055667954839416
camels_01435000,02,0.6507612323390938,0.6584237491845899,0.7477724743325602,0.7332347139961564
camels_01440000,02,0.8977486979359147,0.8161492943856861,0.8186811003678759,0.7015010975355809
camels_01440400,02,0.8521199285489022,0.8767793406779287,0.9006948435136268,0.920793354060329
camels_01451800,02,0.8485113998019734,0.8551623117407775,0.8856074181223108,0.9045726955693405
camels_01485500,02,0.8009517978700166,0.8311901764095677,0.6970102176267234,0.7346476332481243
camels_01487000,02,0.7142991303256693,0.7156698473753433,0.7880289345867582,0.6883969299292636
camels_01491000,02,0.27263872693407976,0.29903311758259343,0.29978504334631106,0.3436394089031345
camels_01518862,02,0.7680475426604676,0.78214752096925,0.8477372390969297,0.8268732245000541
camels_01532000,02,0.8364335261099194,0.7195410628969139,0.8074747768385688,0.7338734222990229
camels_01539000,02,0.9222839054507044,0.7891709767008896,0.9341590723915039,0.7433018011858088
camels_01543000,02,0.9257552436178333,0.87750122305914,0.8845761965734222,0.8446628635023559
camels_01543500,02,0.9251139309159128,0.9033000932670393,0.9039881856480829,0.8981316677604056
camels_01544500,02,0.8668484923928239,0.8949063564215666,0.9119259955613048,0.915882928420167
camels_01545600,02,0.697636669841394,0.8211233305679606,0.8034469271265432,0.804708855525931
camels_01547700,02,0.7826862585624628,0.805790891270642,0.8369226446009532,0.8861738231523956
camels_01548500,02,0.8808135095337429,0.8926959037605671,0.8653605472989621,0.9119734265202838
camels_01550000,02,0.8675672395600802,0.865687777668378,0.8621993007437251,0.8253158380709625
camels_01552000,02,0.8743062805406489,0.7436315324591694,0.8745063938091546,0.6860238589029892
camels_01557500,02,0.8723965577968074,0.7951433346589886,0.8860656965016864,0.7950589126201275
camels_01568000,02,0.775322482914406,0.7722363272318586,0.7546151422864903,0.7514884668155764
camels_01580000,02,0.6703654751726271,0.8090794424901114,0.8145418208179366,0.7816133478873475
camels_01583500,02,0.6995246435913218,0.7098683704294546,0.8053180419456398,0.6490304418343105
camels_01596500,02,0.7974611766642382,0.7763055178278899,0.7208588591964871,0.7128124920419603
camels_01605500,02,0.8409199792866172,0.8000411344634579,0.6755561854565089,0.7341979155375831
camels_01606500,02,0.8455547210765193,0.799911239043679,0.7790758030699199,0.7123395764230307
camels_01632000,02,0.6830063709951852,0.6912052794738577,0.6732538051489496,0.7694581228055037
camels_01632900,02,0.759316853892555,0.8114054067793609,0.8441328882278115,0.9033185500422429
camels_01634500,02,0.6814117811020328,0.7173541300629771,0.5271800080120056,0.5441237120576204
camels_01638480,02,0.5955457543834157,0.26230397935025673,0.5453017549976861,0.5988477119407309
camels_01639500,02,0.8013666056025438,0.8020281413905582,0.762155775494747,0.7249299879532114
camels_01644000,02,0.6713016274854435,0.48878325980862947,0.5342889631458863,0.5831000041230486
camels_01664000,02,0.8113271166326479,0.7753212479412218,0.6952642803567594,0.6539507516987637
camels_01666500,02,0.7630817984829463,0.7278174483117326,0.7412978630344272,0.6708330350061824
camels_01667500,02,0.8588278122386122,0.8300754281946314,0.7967358777549346,0.7486547391546569
camels_01669520,02,0.6350494955262638,0.7866543925285098,0.761038601834996,0.6904573047382563
camels_02011400,02,0.7377148852809513,0.8649775938756813,0.5475440853362856,0.8148132951481264
camels_02011460,02,0.8750549193423688,0.8853920271318992,0.7472437769171079,0.8079688172704647
camels_02013000,02,0.8180200885180339,0.747274675669188,0.6632419282775478,0.7118787805036495
camels_02014000,02,0.7732780573649513,0.777979273831833,0.7247100117820321,0.7306541441458125
